iter	Passed	Remaining
0	0	90
1	0	101
2	1	104
3	1	104
4	1	104
5	2	102
6	2	109
7	3	122
8	3	126
9	4	130
10	4	127
11	5	125
12	5	123
13	6	126
14	6	122
15	6	120
16	7	119
17	7	119
18	7	117
19	8	116
20	8	114
21	9	114
22	9	111
23	9	108
24	10	110
25	10	110
26	10	109
27	11	108
28	11	109
29	12	109
30	12	108
31	12	108
32	13	107
33	13	107
34	14	106
35	14	105
36	14	104
37	15	104
38	15	103
39	15	103
40	16	103
41	17	110
42	18	113
43	19	113
44	20	113
45	20	113
46	20	112
47	21	112
48	21	112
49	22	111
50	22	111
51	23	110
52	23	110
53	24	109
54	24	109
55	25	109
56	25	110
57	26	109
58	27	110
59	27	110
60	28	109
61	28	108
62	28	109
63	29	108
64	29	108
65	30	107
66	30	107
67	31	105
68	31	105
69	31	104
70	32	104
71	32	104
72	33	103
73	34	104
74	35	105
75	35	104
76	36	104
77	36	104
78	37	103
79	37	103
80	37	102
81	38	102
82	38	101
83	39	100
84	39	100
85	40	100
86	40	99
87	41	99
88	41	99
89	42	99
90	43	100
91	44	99
92	44	99
93	45	98
94	45	98
95	46	97
96	46	97
97	46	96
98	47	96
99	47	95
100	48	94
101	48	94
102	49	93
103	49	94
104	50	93
105	51	93
106	51	93
107	52	92
108	53	93
109	53	93
110	54	92
111	54	91
112	54	90
113	55	90
114	55	89
115	55	88
116	56	88
117	56	87
118	57	87
119	57	86
120	58	86
121	58	85
122	58	84
123	59	84
124	59	83
125	60	83
126	60	82
127	60	81
128	61	81
129	61	80
130	61	79
131	62	79
132	62	78
133	62	77
134	63	77
135	63	76
136	64	76
137	64	75
138	64	75
139	66	75
140	66	75
141	67	74
142	67	74
143	68	73
144	68	73
145	68	72
146	69	71
147	69	71
148	69	70
149	70	70
150	70	69
151	70	69
152	71	68
153	71	67
154	72	67
155	72	66
156	73	66
157	73	66
158	73	65
159	74	65
160	75	64
161	75	64
162	76	63
163	76	63
164	76	62
165	77	62
166	77	61
167	77	61
168	78	60
169	78	60
170	78	59
171	79	59
172	79	58
173	80	57
174	80	57
175	81	57
176	81	56
177	82	56
178	82	55
179	83	55
180	83	55
181	84	54
182	84	54
183	85	53
184	85	53
185	85	52
186	86	52
187	86	51
188	86	51
189	87	50
190	87	50
191	88	49
192	88	49
193	89	48
194	89	48
195	89	47
196	91	47
197	91	47
198	91	46
199	92	46
200	92	45
201	92	45
202	93	44
203	93	44
204	94	43
205	94	43
206	94	42
207	95	42
208	95	41
209	95	41
210	97	40
211	97	40
212	98	40
213	98	39
214	98	39
215	99	38
216	99	38
217	100	37
218	100	37
219	100	36
220	101	36
221	101	35
222	101	35
223	102	34
224	102	34
225	102	33
226	103	33
227	104	32
228	105	32
229	105	32
230	106	31
231	106	31
232	106	30
233	107	30
234	107	29
235	108	29
236	108	28
237	108	28
238	109	27
239	109	27
240	109	26
241	110	26
242	110	25
243	111	25
244	112	25
245	112	24
246	113	24
247	113	23
248	114	23
249	114	22
250	114	22
251	115	21
252	115	21
253	115	20
254	116	20
255	116	20
256	116	19
257	117	19
258	117	18
259	118	18
260	118	17
261	119	17
262	119	16
263	120	16
264	120	15
265	121	15
266	121	15
267	121	14
268	122	14
269	122	13
270	123	13
271	123	12
272	123	12
273	124	11
274	124	11
275	125	10
276	125	10
277	125	9
278	126	9
279	126	9
280	127	8
281	128	8
282	128	7
283	128	7
284	129	6
285	129	6
286	130	5
287	130	5
288	130	4
289	131	4
290	131	4
291	132	3
292	132	3
293	132	2
294	133	2
295	133	1
296	134	1
297	134	0
298	135	0
299	135	0
