caseid,tid,status,n_samples,duration_min,valid_pct
184,8269a763eaadcb6fab6cf3e73d4eb201a0382a9e,ok,17323817,577.4605666666666,99.90468035999226
241,c915f176e9f2a7aa6ca2fc3c06c7c849dac07abc,ok,17826591,594.2197,91.49548559228178
626,0cda63beeecf66ca8748bca0b2a5573c7cacc6ea,ok,15891256,529.7085333333333,99.99051679741362
750,b67c16424d14f0fce7a51347e5888d0e98205328,ok,23240801,774.6933666666666,99.92477023489853
1004,58a123f882cbe73a612e48c5aba09cce1c606274,ok,9799105,326.6368333333333,99.89739879305304
1157,a2945cfa2030afcf99d96ffc970bb27ab10ec6b4,ok,16219289,540.6429666666667,99.87751620924938
1327,9d281a579c746260728ee2cc0ed42612f3d75141,ok,14032131,467.73769999999996,87.2198242733053
1407,c79aec7b91612b8e216c23549dd6db7c0ed7526f,ok,18316157,610.5385666666666,99.99678425992964
1492,835aeebd65c02a3214b78400bb0565f228d9cc07,ok,16938510,564.617,99.73002938274972
1558,e5b537412e576a5dd14bb1a7b980c5348796943e,ok,8532542,284.4180666666667,99.86954649622587
1803,8b1688f44807a158466e22da8ae4bc2bc7f9a744,ok,30878024,1029.2674666666667,99.91354369049003
2160,5ebfe51e7ef728474c29c39c288a0d8fa7941e56,ok,17474683,582.4894333333334,95.43563680096514
3146,c06f3de907eb810492001918fbb8d2cf517b4ec0,ok,18759510,625.3169999999999,99.99675364655047
3255,b4334a0302184cb3627faeb4bb64d74770216ee3,ok,11850813,395.0271,99.91507755628243
3962,b0a4c229a7f7434d6f83f5789735c0075248f2ae,ok,10611748,353.7249333333333,99.88884017977057
4245,6bc4f492a9e55f111f50ae083d14239bf69f20f5,ok,10982010,366.067,99.86348582818628
4251,46901bef6450e39e79f05eee82843142097e52ed,ok,11478870,382.629,99.9964020848742
4670,073dd8c6c345c805fd7cc66bf6e3a6adac6e19eb,ok,15934941,531.1647,99.834050217067
5311,b47004604bdab2f2ec165b0547e8799032e35418,ok,17437974,581.2657999999999,99.75666324539766
6337,4b929d4d660e5dfbfb7fdbf0fa4556fc54f4b9c6,ok,12111205,403.70683333333335,99.83847189441512
