feature,importance,rank
demo_age,7.727157928996149,1
w15m_pulse_width_50,6.6068030744687505,2
lag15m_imf1_psd_var,5.64418220194662,3
lag15m_imf1_var,5.487322565413012,4
lag15m_imf1_std,4.0611440660457045,5
lag15m_imf3_kurtosis,3.1602189846057103,6
lag15m_imf2_mean,2.7537852704664165,7
lag15m_peak_to_peak,2.672721742407812,8
lag15m_hr_bpm,2.3933351838609638,9
lag15m_imf1_mean,2.0657105501129753,10
w15m_prv_mean_ibi,1.7949828961407464,11
lag15m_imf1_total_power,1.5327810426357238,12
w15m_imf4_kurtosis,1.27968952806928,13
lag15m_d2_min,1.1684397641228066,14
w15m_hr_bpm,1.1637913509350186,15
w15m_d2_std,1.157491002103017,16
demo_preop_hb,1.1054735852607702,17
lag15m_imf1_spectral_band_energy,1.101946933574818,18
demo_preop_cr,1.0565711739574377,19
lag15m_imf3_mean,1.020305302580523,20
lag15m_imf3_spectral_centroid,1.008093787568849,21
lag15m_imf5_ae_mean,0.8903690326292186,22
w15m_imf4_spectral_centroid,0.8756179193371841,23
w15m_imf1_std,0.838070781772342,24
w15m_imf1_mean,0.81498421663047,25
w15m_mean,0.754262926317613,26
lag15m_imf1_psd_mean,0.7304287520412094,27
w15m_imf4_skew,0.7212109660565825,28
w15m_imf3_pser,0.7076570084071319,29
lag15m_imf4_std,0.7041835567691285,30
lag15m_mean,0.6813910718588411,31
lag15m_imf7_dominant_freq,0.6749478551321718,32
w15m_imf7_ptp,0.6733051743792445,33
lag15m_d1_max,0.6642989095085512,34
lag15m_imf5_var,0.6508891435847383,35
w15m_imf6_dominant_freq,0.6274748780843511,36
lag15m_pulse_width_50,0.624148334736828,37
w15m_imf1_spectral_band_energy,0.6187077500370747,38
w15m_pulse_width_25,0.6100781305208985,39
w15m_imf1_spectral_centroid,0.5551580672121474,40
demo_preop_gluc,0.536368215422608,41
lag15m_imf1_spectral_entropy,0.5163631040734249,42
w15m_imf3_if_mean,0.5100475415390598,43
w15m_imf1_var,0.4757761475862777,44
w15m_imf1_ae_mean,0.4494072547923225,45
w15m_imf1_spectral_flatness,0.4453475252569671,46
lag15m_imf3_if_mean,0.44234549007918716,47
w15m_imf1_spectral_slope,0.43889240432219817,48
w15m_mean_peak_amp,0.4266601656938296,49
w15m_imf3_std,0.4165279624611692,50
w15m_imf7_spectral_band_energy,0.41487922858616905,51
lag15m_imf3_dominant_freq,0.4137007666816388,52
w15m_imf3_spectral_centroid,0.3986569180062974,53
w15m_imf5_ae_mean,0.3949662586509986,54
lag15m_imf6_spectral_centroid,0.39377837974654534,55
lag15m_pulse_width_75,0.39217268716618825,56
w15m_imf5_spectral_band_energy,0.3854516774422726,57
lag15m_imf6_var,0.3680180883068657,58
lag15m_imf4_zcr,0.3460329847430258,59
w15m_imf5_spectral_centroid,0.3460146353761848,60
w15m_imf1_psd_mean,0.3410918005806659,61
w15m_imf2_ptp,0.33591185777721216,62
lag15m_imf4_spectral_slope,0.3346930001897111,63
w15m_median,0.32990449954522977,64
w15m_imf7_spectral_slope,0.3284998973992642,65
lag15m_d2_std,0.3277797881343278,66
lag15m_imf6_mean,0.3270103809820896,67
w15m_imf7_ae_mean,0.32054899746389565,68
w15m_imf4_psd_mean,0.2989049527875057,69
w15m_imf3_skew,0.29308754141489435,70
lag15m_imf6_kurtosis,0.2873912960266207,71
w15m_prv_sdnn,0.2871496454428443,72
w15m_imf4_mean,0.28339234773579863,73
w15m_imf3_mean,0.2819238332704581,74
w15m_imf3_kurtosis,0.28038000318128253,75
lag15m_imf2_if_mean,0.26626041205566175,76
w15m_imf2_spectral_band_energy,0.262817580369899,77
w15m_imf7_mean,0.2626522703493358,78
lag15m_imf6_zcr,0.25664158248821267,79
w15m_imf2_spectral_entropy,0.2558556270675026,80
lag15m_imf5_total_power,0.2530475342705736,81
lag15m_imf3_pser,0.25068774071621014,82
w15m_imf1_if_mean,0.24278998035524715,83
lag15m_imf2_spectral_flatness,0.2421723030923929,84
lag15m_imf6_psd_var,0.24174353092116296,85
lag15m_imf3_std,0.23415183545077456,86
w15m_imf5_spectral_slope,0.23255147835501758,87
w15m_d1_std,0.23247157217939024,88
lag15m_imf5_if_mean,0.2261799609884534,89
w15m_imf7_spectral_centroid,0.2258304036664193,90
w15m_imf5_std,0.22388920970989248,91
w15m_imf6_skew,0.22314770792475264,92
lag15m_d2_max,0.2170980619203057,93
lag15m_imf5_extrema,0.20596729534359798,94
lag15m_skew,0.1998413932684521,95
w15m_imf5_kurtosis,0.19834512687661401,96
lag15m_imf2_total_power,0.19681580419218644,97
lag15m_median,0.1940097017889332,98
lag15m_d1_mean,0.1909586829947073,99
w15m_imf4_total_power,0.19025463976915336,100
lag15m_imf7_spectral_slope,0.1888238162719807,101
