feature,importance,rank
demo_preop_dm,7.794430623390704,1
demo_bmi,3.848898445621342,2
lag15m_imf4_mean,2.493527668847318,3
demo_preop_gluc,2.0035585868683516,4
w15m_prv_mean_ibi,1.8719040230433763,5
w15m_prv_pnn50,1.5901755694536646,6
w15m_imf5_spectral_slope,1.2738406833817915,7
lag15m_imf2_mean,0.9286058826571463,8
w15m_imf3_mean,0.9237595459762473,9
lag15m_imf6_spectral_band_energy,0.919583431006325,10
w15m_imf1_spectral_centroid,0.8760532743229499,11
lag15m_mean,0.8500015969855944,12
lag15m_imf3_kurtosis,0.8318194653266148,13
w15m_imf4_kurtosis,0.8180159849592726,14
lag15m_imf3_spectral_entropy,0.8062867424972777,15
lag15m_skew,0.7909106383232176,16
w15m_imf6_spectral_entropy,0.7888899901248849,17
lag15m_d2_max,0.751180800904585,18
w15m_hr_bpm,0.6988038568388527,19
lag15m_systolic_time,0.6960239221117672,20
lag15m_imf3_skew,0.6891445164528989,21
w15m_skew,0.6838397460643271,22
w15m_imf6_skew,0.6820954818773431,23
w15m_imf5_spectral_flatness,0.6618501534129066,24
w15m_prv_rmssd,0.6548756820809426,25
w15m_imf7_std,0.6537254140034706,26
w15m_imf5_mean,0.6484733788537703,27
w15m_imf5_psd_var,0.6313815336640634,28
lag15m_imf5_ae_mean,0.6282622889661161,29
demo_preop_hb,0.6200981344013233,30
lag15m_imf2_dominant_freq,0.6173810227888301,31
w15m_imf1_spectral_flatness,0.6117170652166196,32
w15m_imf4_pser,0.6110665083335379,33
w15m_pulse_width_25,0.5946854649026709,34
lag15m_imf1_extrema,0.5914765916854869,35
w15m_prv_lf_hf_ratio,0.5794254542919236,36
lag15m_imf6_mean,0.5689550669778864,37
lag15m_std_peak_amp,0.5620689007088989,38
w15m_imf1_spectral_band_energy,0.561267862204079,39
w15m_imf3_skew,0.5530367545384818,40
lag15m_peak_to_peak,0.5432195644185013,41
lag15m_imf5_mean,0.5319641247661216,42
lag15m_imf7_extrema,0.5309873063688298,43
lag15m_d2_min,0.5249273962269185,44
w15m_imf5_dominant_freq,0.5176497100006846,45
